Group,Fish_num,Replicate,Time,Water_sample,Volume_filtered,Elution_volume,qPCR_replicate,Ct_value,Reaction_volume,Template,Temperature,Group
1,5,1,0,5,1,100,3,27.512,25,6,18.3,1
1,5,1,0,5,1,100,2,27.78175732,25,6,18.3,1
1,5,1,0,5,1,100,1,27.87969875,25,6,18.3,1
1,5,1,0,2,1,100,3,28.059,25,6,18.3,1
1,5,1,0,2,1,100,2,28.07667961,25,6,18.3,1
1,5,1,0,2,1,100,1,28.20941397,25,6,18.3,1
1,5,1,0,4,1,100,2,28.95565898,25,6,18.3,1
1,5,1,0,4,1,100,3,29.001,25,6,18.3,1
1,5,1,0,4,1,100,1,29.29339173,25,6,18.3,1
1,5,1,0,1,0.6,100,4,30.403,25,6,18.3,1
1,5,1,0,6,1,100,3,30.509,25,6,18.3,1
1,5,1,0,3,1,100,3,30.967,25,6,18.3,1
1,5,1,0,6,1,100,2,30.98955208,25,6,18.3,1
1,5,1,0,3,1,100,2,31.01164244,25,6,18.3,1
1,5,1,0,6,1,100,1,31.08813234,25,6,18.3,1
1,5,1,0,1,0.6,100,3,31.139,25,6,18.3,1
1,5,1,0,3,1,100,1,31.1441702,25,6,18.3,1
1,5,1,0,1,0.6,100,1,31.1956303,25,6,18.3,1
1,5,1,0,1,0.6,100,2,31.41757925,25,6,18.3,1
1,5,1,3,2,1,100,3,26.827,25,6,20,1
1,5,1,3,2,1,100,1,27.0541006,25,6,20,1
1,5,1,3,2,1,100,2,27.0733908,25,6,20,1
1,5,1,3,3,1,100,3,28.832,25,6,20,1
1,5,1,3,3,1,100,2,28.93826371,25,6,20,1
1,5,1,3,3,1,100,1,29.16616762,25,6,20,1
1,5,1,3,1,1,100,4,29.443,25,6,20,1
1,5,1,3,1,1,100,1,30.33480341,25,6,20,1
1,5,1,3,1,1,100,2,30.42099608,25,6,20,1
1,5,1,3,1,1,100,3,30.518,25,6,20,1
1,5,1,6,2,1,100,3,28.512,25,6,20.5,1
1,5,1,6,2,1,100,2,28.5382269,25,6,20.5,1
1,5,1,6,2,1,100,1,28.5978165,25,6,20.5,1
1,5,1,6,1,1,100,3,30.665,25,6,20.5,1
1,5,1,6,1,1,100,2,30.6798731,25,6,20.5,1
1,5,1,6,1,1,100,1,30.9841261,25,6,20.5,1
1,5,1,6,3,1,100,2,31.60696451,25,6,20.5,1
1,5,1,6,3,1,100,3,31.811,25,6,20.5,1
1,5,1,6,3,1,100,1,31.91548175,25,6,20.5,1
1,5,1,9,2,1,100,2,31.81808572,25,6,21.2,1
1,5,1,9,2,1,100,3,31.919,25,6,21.2,1
1,5,1,9,1,1,100,3,32.079,25,6,21.2,1
1,5,1,9,2,1,100,1,32.22615225,25,6,21.2,1
1,5,1,9,1,1,100,2,32.2343992,25,6,21.2,1
1,5,1,9,1,1,100,1,32.27264495,25,6,21.2,1
1,5,1,9,3,1,100,1,33.47205992,25,6,21.2,1
1,5,1,9,3,1,100,3,33.548,25,6,21.2,1
1,5,1,9,3,1,100,2,33.80281977,25,6,21.2,1
1,5,1,12,1,1,100,4,31.785,25,6,22.2,1
1,5,1,12,2,0.895,100,3,32.203,25,6,22.2,1
1,5,1,12,2,0.895,100,2,32.28992228,25,6,22.2,1
1,5,1,12,2,0.895,100,1,32.35953968,25,6,22.2,1
1,5,1,12,1,1,100,3,32.416,25,6,22.2,1
1,5,1,12,3,0.715,100,2,32.54629515,25,6,22.2,1
1,5,1,12,1,1,100,2,32.55931469,25,6,22.2,1
1,5,1,12,3,0.715,100,3,32.605,25,6,22.2,1
1,5,1,12,1,1,100,1,32.80958681,25,6,22.2,1
1,5,1,12,3,0.715,100,1,33.22310001,25,6,22.2,1
1,5,1,18,1,1,100,4,30.299,25,6,22.7,1
1,5,1,18,3,1,100,3,30.702,25,6,22.7,1
1,5,1,18,3,1,100,1,30.72306777,25,6,22.7,1
1,5,1,18,3,1,100,2,30.91654877,25,6,22.7,1
1,5,1,18,1,1,100,3,31.402,25,6,22.7,1
1,5,1,18,1,1,100,1,31.44398152,25,6,22.7,1
1,5,1,18,1,1,100,2,31.56065367,25,6,22.7,1
1,5,1,18,2,0.91,100,2,33.83175464,25,6,22.7,1
1,5,1,18,2,0.91,100,3,34.053,25,6,22.7,1
1,5,1,18,2,0.91,100,1,34.46896701,25,6,22.7,1
1,5,1,24,1,1,100,4,29.8,25,6,21.7,1
1,5,1,24,1,1,100,2,30.75984615,25,6,21.7,1
1,5,1,24,1,1,100,1,30.79977545,25,6,21.7,1
1,5,1,24,1,1,100,3,31.057,25,6,21.7,1
1,5,1,24,3,1,100,2,33.39548123,25,6,21.7,1
1,5,1,24,3,1,100,3,33.54,25,6,21.7,1
1,5,1,24,3,1,100,1,34.12266634,25,6,21.7,1
1,5,1,24,2,0.84,100,1,34.52514053,25,6,21.7,1
1,5,1,24,2,0.84,100,3,35.252,25,6,21.7,1
1,5,1,24,2,0.84,100,2,35.66181142,25,6,21.7,1
1,5,1,30,2,1.05,100,1,31.2807191,25,6,20.7,1
1,5,1,30,2,1.05,100,3,31.355,25,6,20.7,1
1,5,1,30,2,1.05,100,2,31.4326817,25,6,20.7,1
1,5,1,30,3,1.1,100,3,31.782,25,6,20.7,1
1,5,1,30,3,1.1,100,2,31.83024737,25,6,20.7,1
1,5,1,30,3,1.1,100,1,32.07462243,25,6,20.7,1
1,5,1,30,1,1,100,3,33.423,25,6,20.7,1
1,5,1,30,1,1,100,2,33.67975198,25,6,20.7,1
1,5,1,30,1,1,100,1,33.98692157,25,6,20.7,1
1,5,1,36,1,1,100,4,29.678,25,6,21.8,1
1,5,1,36,1,1,100,3,30.369,25,6,21.8,1
1,5,1,36,1,1,100,2,30.7796481,25,6,21.8,1
1,5,1,36,1,1,100,1,31.6223167,25,6,21.8,1
1,5,1,36,2,1,100,3,34.909,25,6,21.8,1
1,5,1,36,3,1,100,1,35.25586706,25,6,21.8,1
1,5,1,36,2,1,100,1,35.48014161,25,6,21.8,1
1,5,1,36,2,1,100,2,35.62617649,25,6,21.8,1
1,5,1,36,3,1,100,3,35.67,25,6,21.8,1
1,5,1,36,3,1,100,2,35.74310841,25,6,21.8,1
1,5,1,48,1,1,100,4,31.566,25,6,22.6,1
1,5,1,48,1,1,100,1,32.26951869,25,6,22.6,1
1,5,1,48,1,1,100,3,32.335,25,6,22.6,1
1,5,1,48,1,1,100,2,32.98308069,25,6,22.6,1
1,5,1,48,2,1,100,2,34.35024551,25,6,22.6,1
1,5,1,48,2,1,100,3,35.852,25,6,22.6,1
1,5,1,48,2,1,100,1,36.16183694,25,6,22.6,1
1,5,1,48,3,1,100,1,36.59767533,25,6,22.6,1
1,5,1,48,3,1,100,2,37.2069387,25,6,22.6,1
1,5,1,48,3,1,100,3,37.86,25,6,22.6,1
1,5,1,72,2,1.1,100,3,35.079,25,6,21.9,1
1,5,1,72,1,1.1,100,3,35.656,25,6,21.9,1
1,5,1,72,1,1.1,100,1,35.985852,25,6,21.9,1
1,5,1,72,1,1.1,100,2,35.9893103,25,6,21.9,1
1,5,1,72,2,1.1,100,2,36.0621685,25,6,21.9,1
1,5,1,72,2,1.1,100,1,36.51384863,25,6,21.9,1
1,5,1,72,3,1.2,100,4,38.67,25,6,21.9,1
1,5,1,72,3,1.2,100,3,38.866,25,6,21.9,1
1,5,1,72,3,1.2,100,2,38.9390514,25,6,21.9,1
1,5,1,96,1,1,100,3,35.019,25,6,22.5,1
1,5,1,96,2,1,100,1,36.0443147,25,6,22.5,1
1,5,1,96,2,1,100,3,36.409,25,6,22.5,1
1,5,1,96,3,1,100,1,36.44462111,25,6,22.5,1
1,5,1,96,2,1,100,2,36.5143566,25,6,22.5,1
1,5,1,96,1,1,100,2,36.54622662,25,6,22.5,1
1,5,1,96,3,1,100,3,37.203,25,6,22.5,1
1,5,1,96,1,1,100,1,37.50743498,25,6,22.5,1
1,5,1,96,3,1,100,2,39.25450486,25,6,22.5,1
2,5,2,0,1,1,100,4,27.086,25,6,18,2
2,5,2,0,1,1,100,2,27.84179316,25,6,18,2
2,5,2,0,1,1,100,3,27.902,25,6,18,2
2,5,2,0,1,1,100,1,28.07261759,25,6,18,2
2,5,2,0,2,1,100,2,28.65076404,25,6,18,2
2,5,2,0,2,1,100,1,28.74211215,25,6,18,2
2,5,2,0,2,1,100,3,28.846,25,6,18,2
2,5,2,0,5,1,100,1,30.46666843,25,6,18,2
2,5,2,0,5,1,100,2,30.72437899,25,6,18,2
2,5,2,0,5,1,100,3,30.938,25,6,18,2
2,5,2,0,3,1,100,3,31.501,25,6,18,2
2,5,2,0,4,1,100,2,31.57130991,25,6,18,2
2,5,2,0,6,0.75,100,1,31.5927545,25,6,18,2
2,5,2,0,3,1,100,1,31.77855767,25,6,18,2
2,5,2,0,3,1,100,2,31.8655028,25,6,18,2
2,5,2,0,4,1,100,1,32.02447763,25,6,18,2
2,5,2,0,4,1,100,3,32.076,25,6,18,2
2,5,2,0,6,0.75,100,2,32.096543,25,6,18,2
2,5,2,0,6,0.75,100,3,32.465,25,6,18,2
2,5,2,3,1,0.315,100,4,30.852,25,6,19.9,2
2,5,2,3,1,0.315,100,2,31.22241955,25,6,19.9,2
2,5,2,3,1,0.315,100,1,31.27967806,25,6,19.9,2
2,5,2,3,1,0.315,100,3,31.676,25,6,19.9,2
2,5,2,3,2,1,100,4,35.055,25,6,19.9,2
2,5,2,3,2,1,100,2,35.98301082,25,6,19.9,2
2,5,2,6,3,1,100,2,28.73849229,25,6,20.4,2
2,5,2,6,3,1,100,3,29.137,25,6,20.4,2
2,5,2,6,3,1,100,1,29.26614355,25,6,20.4,2
2,5,2,6,1,1,100,4,32.818,25,6,20.4,2
2,5,2,6,1,1,100,2,33.24435366,25,6,20.4,2
2,5,2,6,1,1,100,1,33.63164755,25,6,20.4,2
2,5,2,6,2,1,100,1,33.78820331,25,6,20.4,2
2,5,2,6,1,1,100,3,33.88,25,6,20.4,2
2,5,2,6,2,1,100,3,34.647,25,6,20.4,2
2,5,2,6,2,1,100,2,35.03691576,25,6,20.4,2
2,5,2,9,1,0.9,100,3,29.505,25,6,21.2,2
2,5,2,9,1,0.9,100,2,29.66991941,25,6,21.2,2
2,5,2,9,1,0.9,100,1,29.6899108,25,6,21.2,2
2,5,2,9,2,1,100,3,31.093,25,6,21.2,2
2,5,2,9,2,1,100,1,31.29580068,25,6,21.2,2
2,5,2,9,2,1,100,2,31.35053266,25,6,21.2,2
2,5,2,9,3,0.83,100,1,32.97650236,25,6,21.2,2
2,5,2,9,3,0.83,100,2,33.23423788,25,6,21.2,2
2,5,2,9,3,0.83,100,3,33.511,25,6,21.2,2
2,5,2,12,1,1,100,4,31.57,25,6,22.1,2
2,5,2,12,1,1,100,1,32.46022018,25,6,22.1,2
2,5,2,12,1,1,100,2,32.76512,25,6,22.1,2
2,5,2,12,3,0.715,100,2,32.88607636,25,6,22.1,2
2,5,2,12,1,1,100,3,32.909,25,6,22.1,2
2,5,2,12,3,0.715,100,3,33.191,25,6,22.1,2
2,5,2,12,2,1,100,1,33.47748189,25,6,22.1,2
2,5,2,12,3,0.715,100,1,33.52987153,25,6,22.1,2
2,5,2,12,2,1,100,2,33.7598903,25,6,22.1,2
2,5,2,12,2,1,100,3,34.108,25,6,22.1,2
2,5,2,18,3,0.6,100,2,32.57761246,25,6,22.6,2
2,5,2,18,3,0.6,100,1,32.7314711,25,6,22.6,2
2,5,2,18,3,0.6,100,3,32.755,25,6,22.6,2
2,5,2,18,1,1.05,100,4,33.878,25,6,22.6,2
2,5,2,18,1,1.05,100,2,34.7743558,25,6,22.6,2
2,5,2,18,1,1.05,100,3,34.866,25,6,22.6,2
2,5,2,18,1,1.05,100,1,34.8887015,25,6,22.6,2
2,5,2,18,2,0.75,100,3,35.193,25,6,22.6,2
2,5,2,18,2,0.75,100,4,35.365,25,6,22.6,2
2,5,2,18,2,0.75,100,1,36.04986428,25,6,22.6,2
2,5,2,24,2,0.67,100,2,30.26200707,25,6,22.4,2
2,5,2,24,2,0.67,100,1,30.57730279,25,6,22.4,2
2,5,2,24,2,0.67,100,3,30.897,25,6,22.4,2
2,5,2,24,3,0.79,100,3,32.966,25,6,22.4,2
2,5,2,24,3,0.79,100,1,33.55097945,25,6,22.4,2
2,5,2,24,3,0.79,100,2,33.75389388,25,6,22.4,2
2,5,2,24,1,1,100,1,36.40689258,25,6,22.4,2
2,5,2,24,1,1,100,3,37.053,25,6,22.4,2
2,5,2,24,1,1,100,4,37.706,25,6,22.4,2
2,5,2,24,1,1,100,2,39.67357367,25,6,22.4,2
2,5,2,30,1,1,100,2,31.95121056,25,6,21.9,2
2,5,2,30,1,1,100,1,32.0527406,25,6,21.9,2
2,5,2,30,1,1,100,3,32.623,25,6,21.9,2
2,5,2,30,3,1.05,100,1,33.25599585,25,6,21.9,2
2,5,2,30,3,1.05,100,2,33.93674987,25,6,21.9,2
2,5,2,30,2,1.05,100,2,33.94663253,25,6,21.9,2
2,5,2,30,3,1.05,100,3,34.02,25,6,21.9,2
2,5,2,30,2,1.05,100,3,34.022,25,6,21.9,2
2,5,2,30,2,1.05,100,1,34.40930163,25,6,21.9,2
2,5,2,36,3,1.05,100,2,33.34198862,25,6,22.1,2
2,5,2,36,3,1.05,100,1,33.3823733,25,6,22.1,2
2,5,2,36,3,1.05,100,3,33.495,25,6,22.1,2
2,5,2,36,2,1,100,1,33.9645651,25,6,22.1,2
2,5,2,36,2,1,100,2,34.07601441,25,6,22.1,2
2,5,2,36,2,1,100,3,34.79,25,6,22.1,2
2,5,2,36,1,0.75,100,4,36.213,25,6,22.1,2
2,5,2,36,1,0.75,100,1,36.83492423,25,6,22.1,2
2,5,2,36,1,0.75,100,2,37.10016454,25,6,22.1,2
2,5,2,36,1,0.75,100,3,38.939,25,6,22.1,2
2,5,2,48,1,1,100,3,33.942,25,6,22.4,2
2,5,2,48,1,1,100,4,34.148,25,6,22.4,2
2,5,2,48,1,1,100,1,34.3826195,25,6,22.4,2
2,5,2,48,1,1,100,2,34.4702382,25,6,22.4,2
2,5,2,48,3,1,100,1,35.46706547,25,6,22.4,2
2,5,2,48,2,1,100,2,35.47920961,25,6,22.4,2
2,5,2,48,3,1,100,2,36.34662307,25,6,22.4,2
2,5,2,48,3,1,100,3,36.894,25,6,22.4,2
2,5,2,48,2,1,100,3,37.216,25,6,22.4,2
2,5,2,48,2,1,100,1,38.25367177,25,6,22.4,2
2,5,2,72,2,1.05,100,4,35.171,25,6,22.2,2
2,5,2,72,1,1,100,3,35.979,25,6,22.2,2
2,5,2,72,2,1.05,100,3,36.373,25,6,22.2,2
2,5,2,72,1,1,100,2,36.49549399,25,6,22.2,2
2,5,2,72,3,1,100,4,37.331,25,6,22.2,2
2,5,2,72,1,1,100,1,37.81029943,25,6,22.2,2
2,5,2,72,3,1,100,3,39.105,25,6,22.2,2
2,5,2,96,2,1,100,3,35.404,25,6,22.3,2
2,5,2,96,1,1,100,1,36.17238698,25,6,22.3,2
2,5,2,96,2,1,100,2,36.51628604,25,6,22.3,2
2,5,2,96,3,1,100,1,36.72458413,25,6,22.3,2
2,5,2,96,2,1,100,1,36.84510082,25,6,22.3,2
2,5,2,96,3,1,100,2,37.03568863,25,6,22.3,2
2,5,2,96,3,1,100,3,37.24,25,6,22.3,2
2,5,2,96,1,1,100,2,37.54537127,25,6,22.3,2
2,5,2,96,1,1,100,3,38.724,25,6,22.3,2
3,25,1,0,4,1,100,1,24.00210235,25,6,18.2,3
3,25,1,0,4,1,100,2,24.2120029,25,6,18.2,3
3,25,1,0,4,1,100,3,25.4790207,25,6,18.2,3
3,25,1,0,4,1,100,4,26.16,25,6,18.2,3
3,25,1,0,5,1,100,1,26.17333784,25,6,18.2,3
3,25,1,0,1,0.8,100,5,27.558,25,6,18.2,3
3,25,1,0,5,1,100,2,27.64699972,25,6,18.2,3
3,25,1,0,3,1,100,6,27.663,25,6,18.2,3
3,25,1,0,1,0.8,100,2,27.68451303,25,6,18.2,3
3,25,1,0,1,0.8,100,1,27.85021246,25,6,18.2,3
3,25,1,0,5,1,100,3,27.9578609,25,6,18.2,3
3,25,1,0,6,1,100,1,27.97412884,25,6,18.2,3
3,25,1,0,5,1,100,4,28.1,25,6,18.2,3
3,25,1,0,6,1,100,2,28.22561957,25,6,18.2,3
3,25,1,0,1,0.8,100,3,28.377483,25,6,18.2,3
3,25,1,0,3,1,100,2,28.6422261,25,6,18.2,3
3,25,1,0,1,0.8,100,4,28.68,25,6,18.2,3
3,25,1,0,2,1,100,5,29.281,25,6,18.2,3
3,25,1,0,2,1,100,1,29.28636065,25,6,18.2,3
3,25,1,0,3,1,100,3,29.301122,25,6,18.2,3
3,25,1,0,3,1,100,4,29.33,25,6,18.2,3
3,25,1,0,6,1,100,3,29.3672682,25,6,18.2,3
3,25,1,0,6,1,100,4,29.51,25,6,18.2,3
3,25,1,0,2,1,100,2,29.95780366,25,6,18.2,3
3,25,1,0,2,1,100,4,30.24,25,6,18.2,3
3,25,1,0,2,1,100,3,30.2655048,25,6,18.2,3
3,25,1,3,3,1,100,1,26.54550196,25,6,20.2,3
3,25,1,3,3,1,100,2,26.63750758,25,6,20.2,3
3,25,1,3,2,1,100,1,26.69077054,25,6,20.2,3
3,25,1,3,3,1,100,5,26.906,25,6,20.2,3
3,25,1,3,2,1,100,2,26.944132,25,6,20.2,3
3,25,1,3,2,1,100,3,27.5608039,25,6,20.2,3
3,25,1,3,2,1,100,4,27.81,25,6,20.2,3
3,25,1,3,3,1,100,3,27.8646303,25,6,20.2,3
3,25,1,3,3,1,100,4,27.91,25,6,20.2,3
3,25,1,3,3,1,100,6,28.526,25,6,20.2,3
